PRIMARY_COM_NAME;SCI_NAME
Yellow-billed Giant-Honeyeater;Gymnomyza viridis
Duetting Giant-Honeyeater;Gymnomyza brunneirostris
Mao;Gymnomyza samoensis
Crow Honeyeater;Gymnomyza aubryana
Western Wattled-Honeyeater;Foulehaio procerior
Eastern Wattled-Honeyeater;Foulehaio carunculatus
Northern Wattled-Honeyeater;Foulehaio taviunensis
Tawny-breasted Honeyeater;Xanthotis flaviventer
Tawny-breasted Honeyeater (Western);Xanthotis flaviventer [flaviventer Group]
Tawny-breasted Honeyeater (Northern);Xanthotis flaviventer meyerii/philemon
Tawny-breasted Honeyeater (Southern);Xanthotis flaviventer [filiger Group]
Tawny-breasted Honeyeater (D'Entrecasteaux);Xanthotis flaviventer spilogaster
Spotted Honeyeater;Xanthotis polygrammus
Macleay's Honeyeater;Xanthotis macleayanus
Striped Honeyeater;Plectorhyncha lanceolata
Painted Honeyeater;Grantiella picta
White-streaked Friarbird;Melitograis gilolensis
Little Friarbird;Philemon citreogularis
Meyer's Friarbird;Philemon meyeri
Timor Friarbird;Philemon inornatus
Gray Friarbird;Philemon kisserensis
Brass's Friarbird;Philemon brassi
Morotai Friarbird;Philemon fuscicapillus
Buru Friarbird;Philemon moluccensis
Tanimbar Friarbird;Philemon plumigenis
Seram Friarbird;Philemon subcorniculatus
New Ireland Friarbird;Philemon eichhorni
Helmeted Friarbird;Philemon buceroides
Helmeted Friarbird (New Guinea);Philemon buceroides novaeguineae
Helmeted Friarbird (Hornbill);Philemon buceroides yorki
Helmeted Friarbird (Arnhem Land);Philemon buceroides gordoni/ammitophilus
Helmeted Friarbird (Tenggara);Philemon buceroides buceroides/neglectus
White-naped Friarbird;Philemon albitorques
New Britain Friarbird;Philemon cockerelli
Silver-crowned Friarbird;Philemon argenticeps
Noisy Friarbird;Philemon corniculatus
New Caledonian Friarbird;Philemon diemenensis
friarbird sp.;Philemon sp.
Meliphagidae sp.;Meliphagidae sp.
Western Bristlebird;Dasyornis longirostris
Eastern Bristlebird;Dasyornis brachypterus
Rufous Bristlebird;Dasyornis broadbenti
Spotted Pardalote;Pardalotus punctatus
Spotted Pardalote (Wet Tropics);Pardalotus punctatus millitaris
Spotted Pardalote (Spotted);Pardalotus punctatus punctatus
Spotted Pardalote (Yellow-rumped);Pardalotus punctatus xanthopyge
Forty-spotted Pardalote;Pardalotus quadragintus
Red-browed Pardalote;Pardalotus rubricatus
Striated Pardalote;Pardalotus striatus
Striated Pardalote (Black-headed);Pardalotus striatus [melanocephalus Group]
Striated Pardalote (Eastern);Pardalotus striatus ornatus
Striated Pardalote (Yellow-tipped);Pardalotus striatus striatus
Striated Pardalote (Striated);Pardalotus striatus substriatus
pardalote sp.;Pardalotus sp.
Goldenface;Pachycare flavogriseum
Fernwren;Oreoscopus gutturalis
Pilotbird;Pycnoptilus floccosus
Redthroat;Pyrrholaemus brunneus
Speckled Warbler;Pyrrholaemus sagittatus
Shy Heathwren;Hylacola cauta
Chestnut-rumped Heathwren;Hylacola pyrrhopygia
Striated Fieldwren;Calamanthus fuliginosus
Rufous Fieldwren;Calamanthus campestris
Western Fieldwren;Calamanthus montanellus
Rufous/Western Fieldwren;Calamanthus campestris/montanellus
Weebill;Smicrornis brevirostris
Weebill (Yellow);Smicrornis brevirostris flavescens
Weebill (Brown);Smicrornis brevirostris [brevirostris Group]
Yellow-throated Scrubwren;Neosericornis citreogularis
Mountain Mouse-Warbler;Origma robusta
Rusty Mouse-Warbler;Origma murina
Rockwarbler;Origma solitaria
Tasmanian Scrubwren;Sericornis humilis
White-browed Scrubwren;Sericornis frontalis
White-browed Scrubwren (Buff-breasted);Sericornis frontalis laevigaster
White-browed Scrubwren (White-browed);Sericornis frontalis [frontalis Group]
Spotted Scrubwren;Sericornis maculatus
White-browed/Spotted Scrubwren;Sericornis frontalis/maculatus
Atherton Scrubwren;Sericornis keri
Tropical Scrubwren;Sericornis beccarii
Large-billed Scrubwren;Sericornis magnirostra
Large-billed Scrubwren (Straight-billed);Sericornis magnirostra viridior
Large-billed Scrubwren (Recurve-billed);Sericornis magnirostra magnirostra/howei
Large Scrubwren;Sericornis nouhuysi
Pale-billed Scrubwren;Aethomyias spilodera
Bicolored Mouse-Warbler;Aethomyias nigrorufus
mouse-warbler sp.;Origma robusta/murina/Aethomyias nigrorufus
Vogelkop Scrubwren;Aethomyias rufescens
Buff-faced Scrubwren;Aethomyias perspicillatus
Wondiwoi Scrubwren (undescribed form);Aethomyias [undescribed form]
Gray-green Scrubwren;Aethomyias arfakianus
Papuan Scrubwren;Aethomyias papuensis
scrubwren sp.;Neosericornis/Sericornis/Aethomyias sp.
Scrubtit;Acanthornis magna
Southern Whiteface;Aphelocephala leucopsis
Southern Whiteface (Gray-flanked);Aphelocephala leucopsis leucopsis
Southern Whiteface (Rufous-flanked);Aphelocephala leucopsis castaneiventris
Banded Whiteface;Aphelocephala nigricincta
Chestnut-breasted Whiteface;Aphelocephala pectoralis
Yellow-rumped Thornbill;Acanthiza chrysorrhoa
Gray Thornbill;Acanthiza cinerea
Papuan Thornbill;Acanthiza murina
Yellow Thornbill;Acanthiza nana
Striated Thornbill;Acanthiza lineata
Inland Thornbill;Acanthiza apicalis
Tasmanian Thornbill;Acanthiza ewingii
Mountain Thornbill;Acanthiza katherina
Brown Thornbill;Acanthiza pusilla
Tasmanian/Brown Thornbill;Acanthiza ewingii/pusilla
Slaty-backed Thornbill;Acanthiza robustirostris
Slender-billed Thornbill;Acanthiza iredalei
Chestnut-rumped Thornbill;Acanthiza uropygialis
Western Thornbill;Acanthiza inornata
Buff-rumped Thornbill;Acanthiza reguloides
Buff-rumped Thornbill (Yellowish);Acanthiza reguloides squamata
Buff-rumped Thornbill (Buff-rumped);Acanthiza reguloides [reguloides Group]
thornbill sp.;Acanthiza sp.
Yellow-bellied Gerygone;Gerygone chrysogaster
Brown Gerygone;Gerygone mouki
Green-backed Gerygone;Gerygone chloronota
Fairy Gerygone;Gerygone palpebrosa
Fairy Gerygone (Black-throated);Gerygone palpebrosa [palpebrosa Group]
Fairy Gerygone (Fairy);Gerygone palpebrosa flavida
Large-billed Gerygone;Gerygone magnirostris
Biak Gerygone;Gerygone hypoxantha
Plain Gerygone;Gerygone inornata
Rufous-sided Gerygone;Gerygone dorsalis
White-throated Gerygone;Gerygone olivacea
Golden-bellied Gerygone;Gerygone sulphurea
Dusky Gerygone;Gerygone tenebrosa
Fan-tailed Gerygone;Gerygone flavolateralis
Rennell Gerygone;Gerygone citrina
Mangrove Gerygone;Gerygone levigaster
Western Gerygone;Gerygone fusca
Brown-breasted Gerygone;Gerygone ruficollis
Lord Howe Gerygone;Gerygone insularis
Norfolk Island Gerygone;Gerygone modesta
Gray Gerygone;Gerygone igata
Chatham Islands Gerygone;Gerygone albofrontata
gerygone sp.;Gerygone sp.
Papuan Babbler;Garritornis isidorei
Gray-crowned Babbler;Pomatostomus temporalis
Gray-crowned Babbler (Gray-crowned);Pomatostomus temporalis temporalis/strepitans
Gray-crowned Babbler (Rufous-breasted);Pomatostomus temporalis rubeculus
White-browed Babbler;Pomatostomus superciliosus
Hall's Babbler;Pomatostomus halli
Chestnut-crowned Babbler;Pomatostomus ruficeps
pseudo-babbler sp.;Pomatostomus sp.
Papuan Logrunner;Orthonyx novaeguineae
Papuan Logrunner (Arfak);Orthonyx novaeguineae novaeguineae
Papuan Logrunner (Papuan);Orthonyx novaeguineae victorianus/dorsalis
Australian Logrunner;Orthonyx temminckii
Chowchilla;Orthonyx spaldingii
Spotted Quail-thrush;Cinclosoma punctatum
Chestnut Quail-thrush;Cinclosoma castanotum
Copperback Quail-thrush;Cinclosoma clarum
Chestnut-breasted Quail-thrush;Cinclosoma castaneothorax
Western Quail-thrush;Cinclosoma marginatum
Cinnamon Quail-thrush;Cinclosoma cinnamomeum
Nullarbor Quail-thrush;Cinclosoma alisteri
Painted Quail-thrush;Cinclosoma ajax
quail-thrush sp.;Cinclosoma sp.
Spotted Jewel-babbler;Ptilorrhoa leucosticta
Blue Jewel-babbler;Ptilorrhoa caerulescens
Dimorphic Jewel-babbler;Ptilorrhoa geislerorum
Yapen Jewel-babbler (undescribed form);Ptilorrhoa [undescribed Yapen form]
Blue/Dimorphic Jewel-babbler;Ptilorrhoa caerulescens/geislerorum
Chestnut-backed Jewel-babbler;Ptilorrhoa castanonota
jewel-babbler sp.;Ptilorrhoa sp.
White-bellied Minivet;Pericrocotus erythropygius
Jerdon's Minivet;Pericrocotus albifrons
Fiery Minivet;Pericrocotus igneus
Small Minivet;Pericrocotus cinnamomeus
Gray-chinned Minivet;Pericrocotus solaris
Gray-chinned Minivet (Gray-chinned);Pericrocotus solaris [solaris Group]
Gray-chinned Minivet (Gray-throated);Pericrocotus solaris montanus/cinereigula
Sunda Minivet;Pericrocotus miniatus
Short-billed Minivet;Pericrocotus brevirostris
Flores Minivet;Pericrocotus lansbergei
Long-tailed Minivet;Pericrocotus ethologus
Orange Minivet;Pericrocotus flammeus
Scarlet Minivet;Pericrocotus speciosus
Scarlet Minivet (Scarlet);Pericrocotus speciosus [speciosus Group]
Scarlet Minivet (Philippine Red);Pericrocotus speciosus leytensis/novus
Scarlet Minivet (Philippine Yellow);Pericrocotus speciosus [marchesae Group]
Scarlet Minivet (Javan);Pericrocotus speciosus exul/siebersi
Ryukyu Minivet;Pericrocotus tegimae
Ashy Minivet;Pericrocotus divaricatus
Ryukyu/Ashy Minivet;Pericrocotus tegimae/divaricatus
Brown-rumped Minivet;Pericrocotus cantonensis
Ashy/Brown-rumped Minivet;Pericrocotus divaricatus/cantonensis
Rosy Minivet;Pericrocotus roseus
Brown-rumped x Rosy Minivet (hybrid);Pericrocotus cantonensis x roseus
minivet sp. (red minivet sp.);Pericrocotus sp. (red minivet sp.)
minivet sp. (gray minivet sp.);Pericrocotus sp. (grey minivet sp.)
minivet sp.;Pericrocotus sp.
Comoro Cuckooshrike;Ceblepyris cucullatus
Madagascar Cuckooshrike;Ceblepyris cinereus
Grauer's Cuckooshrike;Ceblepyris graueri
Gray Cuckooshrike;Ceblepyris caesius
White-breasted Cuckooshrike;Ceblepyris pectoralis
Stout-billed Cuckooshrike;Coracina caeruleogrisea
Hooded Cuckooshrike;Coracina longicauda
Pied Cuckooshrike;Coracina bicolor
Cerulean Cuckooshrike;Coracina temminckii
Ground Cuckooshrike;Coracina maxima
Barred Cuckooshrike;Coracina lineata
Boyer's Cuckooshrike;Coracina boyeri
Black-faced Cuckooshrike;Coracina novaehollandiae
North Melanesian Cuckooshrike;Coracina welchmani
White-bellied Cuckooshrike;Coracina papuensis
White-bellied Cuckooshrike (White-bellied);Coracina papuensis [papuensis Group]
White-bellied Cuckooshrike (Manus);Coracina papuensis ingens
Moluccan Cuckooshrike;Coracina atriceps
South Melanesian Cuckooshrike;Coracina caledonica
Indian Cuckooshrike;Coracina macei
Oriental Cuckooshrike;Coracina javensis
Oriental Cuckooshrike (Javan);Coracina javensis javensis
Oriental Cuckooshrike (Oriental);Coracina javensis [nipalensis Group]
Oriental Cuckooshrike (East Asian);Coracina javensis rexpineti
Indian/Oriental Cuckooshrike;Coracina macei/javensis
Malayan Cuckooshrike;Coracina larutensis
Bar-bellied Cuckooshrike;Coracina striata
Bar-bellied Cuckooshrike (Roving);Coracina striata [sumatrensis Group]
Bar-bellied Cuckooshrike (Philippine);Coracina striata [striata Group]
Mindoro Cuckooshrike;Coracina mindorensis
Visayan Cuckooshrike;Coracina panayensis
Mindanao Cuckooshrike;Coracina kochii
Sulu Cuckooshrike;Coracina guillemardi
Andaman Cuckooshrike;Coracina dobsoni
Sunda Cuckooshrike;Coracina larvata
Wallacean Cuckooshrike;Coracina personata
Wallacean Cuckooshrike (Kai);Coracina personata pollens
Wallacean Cuckooshrike (Flores);Coracina personata floris
Wallacean Cuckooshrike (Sumba);Coracina personata sumbensis
Wallacean Cuckooshrike (Timor);Coracina personata personata
Wallacean Cuckooshrike (Tanimbar);Coracina personata unimoda
Wallacean Cuckooshrike (Alor);Coracina personata alfrediana
Halmahera Cuckooshrike;Coracina parvula
Buru Cuckooshrike;Coracina fortis
White-rumped Cuckooshrike;Coracina leucopygia
Slaty Cuckooshrike;Coracina schistacea
Coracina sp.;Coracina sp.
Ghana Cuckooshrike;Lobotos lobatus
Oriole Cuckooshrike;Lobotos oriolinus
Black Cuckooshrike;Campephaga flava
Petit's Cuckooshrike;Campephaga petiti
Red-shouldered Cuckooshrike;Campephaga phoenicea
Purple-throated Cuckooshrike;Campephaga quiscalina
african cuckooshrike sp.;Campephaga sp.
Golden Cuckooshrike;Campochaera sloetii
McGregor's Cuckooshrike;Malindangia mcgregori
Polynesian Triller;Lalage maculosa
Samoan Triller;Lalage sharpei
Long-tailed Triller;Lalage leucopyga
White-shouldered Triller;Lalage sueurii
White-winged Triller;Lalage tricolor
Black-browed Triller;Lalage atrovirens
Biak Triller;Lalage leucoptera
White-browed Triller;Lalage moesta
Varied Triller;Lalage leucomela
Mussau Triller;Lalage conjuncta
Black-and-white Triller;Lalage melanoleuca
Black-and-white Triller (Northern);Lalage melanoleuca melanoleuca
Black-and-white Triller (Southern);Lalage melanoleuca minor
White-rumped Triller;Lalage leucopygialis
Pied Triller;Lalage nigra
Rufous-bellied Triller;Lalage aurea
Reunion Cuckooshrike;Lalage newtoni
Mauritius Cuckooshrike;Lalage typica
Black-winged Cuckooshrike;Lalage melaschistos
Black-headed Cuckooshrike;Lalage melanoptera
Indian/Oriental/Black-headed Cuckooshrike;Coracina macei/javensis/Lalage melanoptera
Lesser Cuckooshrike;Lalage fimbriata
Indochinese Cuckooshrike;Lalage polioptera
Lalage sp.;Lalage sp.
Pygmy Cuckooshrike;Celebesica abbotti
Blue Cuckooshrike;Cyanograucalus azureus
New Caledonian Cuckooshrike;Edolisoma anale
Blackish Cuckooshrike;Edolisoma coerulescens
White-winged Cuckooshrike;Edolisoma ostentum
Black-bellied Cicadabird;Edolisoma montanum
Pale-shouldered Cicadabird;Edolisoma dohertyi
Kai Cicadabird;Edolisoma dispar
Timor Cicadabird;Edolisoma timoriense
Timor Cicadabird (Flores Sea);Edolisoma timoriense emancipatum/kalaotuae
Timor Cicadabird (Timor);Edolisoma timoriense timoriense
Pale Cicadabird;Edolisoma ceramense
Pohnpei Cicadabird;Edolisoma insperatum
Black-bibbed Cicadabird;Edolisoma mindanense
Black-bibbed Cicadabird (Luzon);Edolisoma mindanense lecroyae
Black-bibbed Cicadabird (Mindoro);Edolisoma mindanense elusum
Black-bibbed Cicadabird (Mindanao);Edolisoma mindanense mindanense/ripleyi
Black-bibbed Cicadabird (Sulu);Edolisoma mindanense everetti
Gray-headed Cicadabird;Edolisoma schisticeps
Black Cicadabird;Edolisoma melas
Solomons Cicadabird;Edolisoma holopolium
Solomons Cicadabird (Solomons);Edolisoma holopolium holopolium
Solomons Cicadabird (New Georgia);Edolisoma holopolium pygmaeum
Malaita Cicadabird;Edolisoma tricolor
Makira Cicadabird;Edolisoma salomonis
Manus Cicadabird;Edolisoma admiralitatis
Sangihe Cicadabird;Edolisoma salvadorii
Sangihe Cicadabird (Sangihe);Edolisoma salvadorii salvadorii
Sangihe Cicadabird (Talaud);Edolisoma salvadorii talautense
Palau Cicadabird;Edolisoma monacha
Yap Cicadabird;Edolisoma nesiotis
Central Melanesian Cicadabird;Edolisoma erythropygium
Central Melanesian Cicadabird (Lihir);Edolisoma erythropygium ultimum
Central Melanesian Cicadabird (Central Melanesian);Edolisoma erythropygium erythropygium/saturatius
Central Melanesian Cicadabird (Pavuvu);Edolisoma erythropygium nisorium
Sulawesi Cicadabird;Edolisoma morio
Geelvink Cicadabird;Edolisoma meyerii
Banggai Cicadabird;Edolisoma pelingi
Obi Cicadabird;Edolisoma obiense
Sula Cicadabird;Edolisoma sula
North Moluccan Cicadabird;Edolisoma grayi
North Moluccan Cicadabird (Tukangbesi);Edolisoma grayi pererratum
North Moluccan Cicadabird (North Moluccan);Edolisoma grayi grayi
Papuan Cicadabird;Edolisoma incertum
Bismarck Cicadabird;Edolisoma remotum
Bismarck Cicadabird (Mussau);Edolisoma remotum matthiae
Bismarck Cicadabird (New Ireland);Edolisoma remotum remotum
Bismarck Cicadabird (Umboi);Edolisoma remotum rooki
Bismarck Cicadabird (New Britain);Edolisoma remotum heinrothi
Rossel Cicadabird;Edolisoma rostratum
South Moluccan Cicadabird;Edolisoma amboinense
Sahul Cicadabird;Edolisoma tenuirostre
Sahul Cicadabird (Papuan);Edolisoma tenuirostre [muellerii Group]
Sahul Cicadabird (Tagula);Edolisoma tenuirostre tagulanum
Sahul Cicadabird (Rainforest);Edolisoma tenuirostre melvillense
Sahul Cicadabird (Woodland);Edolisoma tenuirostre tenuirostre
Edolisoma sp.;Edolisoma sp.
cuckooshrike sp.;Campephagidae sp.
Whitehead;Mohoua albicilla
Yellowhead;Mohoua ochrocephala
Pipipi;Mohoua novaeseelandiae
Black Sittella;Daphoenositta miranda
Papuan Sittella;Daphoenositta papuensis
Varied Sittella;Daphoenositta chrysoptera
Varied Sittella (White-winged);Daphoenositta chrysoptera leucoptera
Varied Sittella (Striated);Daphoenositta chrysoptera striata
Varied Sittella (White-headed);Daphoenositta chrysoptera leucocephala
Varied Sittella (Orange-winged);Daphoenositta chrysoptera chrysoptera
Varied Sittella (Black-capped);Daphoenositta chrysoptera pileata
Papuan Whipbird;Androphobus viridis
Eastern Whipbird;Psophodes olivaceus
Western Whipbird;Psophodes nigrogularis
Western Whipbird (Black-throated);Psophodes nigrogularis nigrogularis/oberon
Western Whipbird (White-bellied);Psophodes nigrogularis leucogaster/lashmari
Chiming Wedgebill;Psophodes occidentalis
Chirruping Wedgebill;Psophodes cristatus
Wattled Ploughbill;Eulacestoma nigropectus
Crested Bellbird;Oreoica gutturalis
Rufous-naped Bellbird;Aleadryas rufinucha
Piping Bellbird;Ornorectes cristatus
Eastern Shrike-tit;Falcunculus frontatus
Western Shrike-tit;Falcunculus leucogaster
Northern Shrike-tit;Falcunculus whitei
Tit Berrypecker;Oreocharis arfaki
Western Crested Berrypecker;Paramythia olivacea
Eastern Crested Berrypecker;Paramythia montium
Western/Eastern Crested Berrypecker;Paramythia olivacea/montium
Black-headed Shrike-Babbler;Pteruthius rufiventer
Pied Shrike-Babbler;Pteruthius flaviscapis
White-browed Shrike-Babbler;Pteruthius aeralatus
White-browed Shrike-Babbler (Himalayan);Pteruthius aeralatus ripleyi
White-browed Shrike-Babbler (Chestnut-winged);Pteruthius aeralatus validirostris
White-browed Shrike-Babbler (Gray-breasted);Pteruthius aeralatus ricketti
White-browed Shrike-Babbler (Blyth's);Pteruthius aeralatus [aeralatus Group]
White-browed Shrike-Babbler (Dalat);Pteruthius aeralatus annamensis
Green Shrike-Babbler;Pteruthius xanthochlorus
Green Shrike-Babbler (Black-crowned);Pteruthius xanthochlorus xanthochlorus/occidentalis
Green Shrike-Babbler (Eye-ringed);Pteruthius xanthochlorus pallidus/hybrida
Black-eared Shrike-Babbler;Pteruthius melanotis
Trilling Shrike-Babbler;Pteruthius aenobarbus
Clicking Shrike-Babbler;Pteruthius intermedius
Clicking Shrike-Babbler (Garo Hills);Pteruthius intermedius aenobarbulus
Clicking Shrike-Babbler (Clicking);Pteruthius intermedius intermedius
shrike-babbler sp.;Pteruthius sp.
White-bellied Erpornis;Erpornis zantholeuca
Rufous-browed Peppershrike;Cyclarhis gujanensis
Rufous-browed Peppershrike (Northern);Cyclarhis gujanensis [gujanensis Group]
Rufous-browed Peppershrike (Cozumel I.);Cyclarhis gujanensis insularis
Rufous-browed Peppershrike (Yellow-backed);Cyclarhis gujanensis [virenticeps Group]
Rufous-browed Peppershrike (Chaco);Cyclarhis gujanensis viridis/cearensis
Rufous-browed Peppershrike (Ochre-crowned);Cyclarhis gujanensis ochrocephala
Black-billed Peppershrike;Cyclarhis nigrirostris
Rufous-browed/Black-billed Peppershrike;Cyclarhis gujanensis/nigrirostris
Gray-eyed Greenlet;Hylophilus amaurocephalus
Gray-eyed Greenlet (Beni);Hylophilus amaurocephalus [undescribed Beni form]
Rufous-crowned Greenlet;Hylophilus poicilotis
Olivaceous Greenlet;Hylophilus olivaceus
Ashy-headed Greenlet;Hylophilus pectoralis
Scrub Greenlet;Hylophilus flavipes
Scrub Greenlet (Yellow-green);Hylophilus flavipes viridiflavus/xuthus
Scrub Greenlet (Scrub);Hylophilus flavipes [flavipes Group]
Scrub Greenlet (Tobago);Hylophilus flavipes insularis
Gray-chested Greenlet;Hylophilus semicinereus
Brown-headed Greenlet;Hylophilus brunneiceps
Lemon-chested Greenlet;Hylophilus thoracicus
Lemon-chested Greenlet (Lemon-chested);Hylophilus thoracicus griseiventris/aemulus
Lemon-chested Greenlet (Rio de Janeiro);Hylophilus thoracicus thoracicus
Chestnut-sided Shrike-Vireo;Vireolanius melitophrys
Green Shrike-Vireo;Vireolanius pulchellus
Yellow-browed Shrike-Vireo;Vireolanius eximius
Slaty-capped Shrike-Vireo;Vireolanius leucotis
Slaty-capped Shrike-Vireo (Pale-legged);Vireolanius leucotis mikettae
Slaty-capped Shrike-Vireo (Slaty-capped);Vireolanius leucotis [leucotis Group]
Ochre-crowned Greenlet;Tunchiornis ochraceiceps
Rufous-fronted Greenlet;Tunchiornis ferrugineifrons
Guianan Greenlet;Tunchiornis luteifrons
Rufous-fronted/Guianan Greenlet;Tunchiornis ferrugineifrons/luteifrons
Para Greenlet;Tunchiornis rubrifrons
Rufous-fronted/Para Greenlet;Tunchiornis ferrugineifrons/rubrifrons
Lesser Greenlet;Pachysylvia decurtata
Lesser Greenlet (Northern);Pachysylvia decurtata decurtata/darienensis
Lesser Greenlet (Gray-headed);Pachysylvia decurtata minor
Dusky-capped Greenlet;Pachysylvia hypoxantha
Buff-cheeked Greenlet;Pachysylvia muscicapina
Golden-fronted Greenlet;Pachysylvia aurantiifrons
Rufous-naped Greenlet;Pachysylvia semibrunnea
greenlet sp.;Hylophilus/Tunchiornis/Pachysylvia sp.
Golden Vireo;Vireo hypochryseus
Blue Mountain Vireo;Vireo osburni
Slaty Vireo;Vireo brevipennis
Black-capped Vireo;Vireo atricapilla
Dwarf Vireo;Vireo nelsoni
White-eyed Vireo;Vireo griseus
White-eyed Vireo (White-eyed);Vireo griseus [griseus Group]
White-eyed Vireo (Veracruz);Vireo griseus perquisitor
Black-capped x White-eyed Vireo (hybrid);Vireo atricapilla x griseus
Thick-billed Vireo;Vireo crassirostris
Mangrove Vireo;Vireo pallens
Mangrove Vireo (West Mexico);Vireo pallens paluster
Mangrove Vireo (Northern Central America);Vireo pallens [semiflavus Group]
Mangrove Vireo (Providencia);Vireo pallens approximans
Mangrove Vireo (Southern Central America);Vireo pallens [pallens Group]
Cozumel Vireo;Vireo bairdi
San Andres Vireo;Vireo caribaeus
Jamaican Vireo;Vireo modestus
Cuban Vireo;Vireo gundlachii
Puerto Rican Vireo;Vireo latimeri
Flat-billed Vireo;Vireo nanus
Bell's Vireo;Vireo bellii
Bell's Vireo (Eastern);Vireo bellii bellii/medius
Bell's Vireo (Arizona);Vireo bellii arizonae
Bell's Vireo (Least);Vireo bellii pusillus
Gray Vireo;Vireo vicinior
Hutton's Vireo;Vireo huttoni
Hutton's Vireo (Pacific);Vireo huttoni [huttoni Group]
Hutton's Vireo (Interior);Vireo huttoni [stephensi Group]
Yellow-throated Vireo;Vireo flavifrons
Yellow-winged Vireo;Vireo carmioli
Choco Vireo;Vireo masteri
Cassin's Vireo;Vireo cassinii
Cassin's Vireo (Cassin's);Vireo cassinii cassinii
Cassin's Vireo (San Lucas);Vireo cassinii lucasanus
Blue-headed Vireo;Vireo solitarius
Yellow-throated x Blue-headed Vireo (hybrid);Vireo flavifrons x solitarius
Cassin's/Blue-headed Vireo;Vireo cassinii/solitarius
Plumbeous Vireo;Vireo plumbeus
Plumbeous Vireo (Plumbeous);Vireo plumbeus plumbeus/gravis
Plumbeous Vireo (Central American);Vireo plumbeus notius/montanus
Yellow-throated x Plumbeous Vireo (hybrid);Vireo flavifrons x plumbeus
Blue-headed x Plumbeous Vireo (hybrid);Vireo solitarius x plumbeus
Cassin's/Plumbeous Vireo;Vireo cassinii/plumbeus
Blue-headed/Plumbeous Vireo;Vireo solitarius/plumbeus
solitary vireo sp.;Vireo cassinii/solitarius/plumbeus
Tepui Vireo;Vireo sclateri
Philadelphia Vireo;Vireo philadelphicus
Eastern Warbling Vireo;Vireo gilvus
Philadelphia/Eastern Warbling Vireo;Vireo philadelphicus/gilvus
Western Warbling Vireo;Vireo swainsoni
Eastern/Western Warbling Vireo;Vireo gilvus/swainsoni
Brown-capped Vireo;Vireo leucophrys
Brown-capped Vireo (Northern);Vireo leucophrys [amauronotus Group]
Brown-capped Vireo (Southern);Vireo leucophrys [leucophrys Group]
Red-eyed Vireo;Vireo olivaceus
Philadelphia x Red-eyed Vireo (hybrid);Vireo philadelphicus x olivaceus
Eastern Warbling x Red-eyed Vireo (hybrid);Vireo gilvus x olivaceus
Western Warbling x Red-eyed Vireo (hybrid);Vireo swainsoni x olivaceus
Eastern/Western Warbling x Red-eyed Vireo (hybrid);Vireo gilvus/swainsoni x olivaceus
Philadelphia/Red-eyed Vireo;Vireo philadelphicus/olivaceus
Chivi Vireo;Vireo chivi
Chivi Vireo (resident);Vireo chivi [agilis Group]
Chivi Vireo (migratory);Vireo chivi chivi/diversus
Red-eyed/Chivi Vireo;Vireo olivaceus/chivi
Noronha Vireo;Vireo gracilirostris
Yellow-green Vireo;Vireo flavoviridis
Yellow-green Vireo (Yellow-green);Vireo flavoviridis [flavoviridis Group]
Yellow-green Vireo (Tres Marias Is.);Vireo flavoviridis forreri
Red-eyed/Yellow-green Vireo;Vireo olivaceus/flavoviridis
Black-whiskered Vireo;Vireo altiloquus
Red-eyed/Black-whiskered Vireo;Vireo olivaceus/altiloquus
Yucatan Vireo;Vireo magister
Yucatan Vireo (Yucatan);Vireo magister magister
Yucatan Vireo (Cayman);Vireo magister caymanensis
vireo sp. (Red-eyed Vireo complex);Vireo sp. (Red-eyed Vireo complex)
vireo sp.;Vireo sp.
Rusty Pitohui;Pseudorectes ferrugineus
White-bellied Pitohui;Pseudorectes incertus
Sandstone Shrikethrush;Colluricincla woodwardi
Bower's Shrikethrush;Colluricincla boweri
Gray Shrikethrush;Colluricincla harmonica
Gray Shrikethrush (Gray);Colluricincla harmonica [brunnea Group]
Gray Shrikethrush (Brown-backed);Colluricincla harmonica harmonica/strigata
Sooty Shrikethrush;Colluricincla tenebrosa
Little Shrikethrush;Colluricincla megarhyncha
Little Shrikethrush (Variable);Colluricincla megarhyncha [fortis Group]
Little Shrikethrush (Waigeo);Colluricincla megarhyncha affinis
Little Shrikethrush (Mamberamo);Colluricincla megarhyncha [obscura Group]
Little Shrikethrush (Sepik-Ramu);Colluricincla megarhyncha [tappenbecki Group]
Little Shrikethrush (Arafura);Colluricincla megarhyncha [megarhyncha Group]
Little Shrikethrush (Tagula);Colluricincla megarhyncha discolor
Little Shrikethrush (Rufous);Colluricincla megarhyncha [rufogaster Group]
Little Shrikethrush (Arafura/Rufous);Colluricincla megarhyncha [megarhyncha Group/rufogaster Group]
Colluricincla sp.;Colluricincla sp.
Black Pitohui;Melanorectes nigrescens
Sangihe Whistler;Coracornis sanghirensis
Maroon-backed Whistler;Coracornis raveni
Olive Whistler;Pachycephala olivacea
Red-lored Whistler;Pachycephala rufogularis
Gilbert's Whistler;Pachycephala inornata
Bare-throated Whistler;Pachycephala nudigula
Fawn-breasted Whistler;Pachycephala orpheus
Fawn-breasted Whistler (Timor);Pachycephala orpheus orpheus
Fawn-breasted Whistler (Banda Sea);Pachycephala orpheus par/compar
Regent Whistler;Pachycephala schlegelii
Vanuatu Whistler;Pachycephala chlorura
